date,total,android,ios,credit_cnt_total,credit_cnt_android,credit_cnt_ios,has_amount_rate,has_amount_rate_android,has_amount_rate_ios
2016-09-28,12626,6219,6407,5807,3591,2216,0.519200964353,0.463102199944,0.610108303249
2016-09-27,14533,6147,8386,6097,3695,2402,0.517959652288,0.458457374831,0.609492089925
2016-09-26,13819,5701,8118,5655,3387,2268,0.51299734748,0.466489518748,0.582451499118
2016-09-25,12685,4695,7990,4470,2647,1823,0.531767337808,0.466565923687,0.626439934174
2016-09-24,14245,4592,9653,4448,2581,1867,0.507868705036,0.45408756296,0.582217461168
2016-09-23,12669,5648,7021,5504,3389,2115,0.517441860465,0.465329005606,0.600945626478
2016-09-22,13740,5879,7861,5720,3490,2230,0.519055944056,0.463896848138,0.605381165919
2016-09-21,15502,6099,9403,6007,3564,2443,0.522557016814,0.464365881033,0.607449856734
2016-09-20,15994,4752,11242,5114,2815,2299,0.53148220571,0.44973357016,0.631578947368
2016-09-19,12908,5249,7659,5373,3152,2221,0.516471245114,0.454314720812,0.604682575416
2016-09-18,11116,4873,6243,4688,2823,1865,0.516638225256,0.453772582359,0.611796246649
2016-09-17,11419,4187,7232,4989,2415,2574,0.517939466827,0.423188405797,0.606837606838
2016-09-16,9984,3907,6077,3601,2185,1416,0.485143015829,0.433409610984,0.564971751412
2016-09-15,9138,3440,5698,2917,1869,1048,0.495714775454,0.449973247726,0.577290076336
2016-09-14,10703,5005,5698,4277,2863,1414,0.507832592939,0.469437652812,0.585572842999
2016-09-13,11765,5402,6363,4833,3158,1675,0.506724601697,0.466751108296,0.582089552239
2016-09-12,12535,5414,7121,5020,3177,1843,0.515737051793,0.469310670444,0.59576776994
2016-09-11,12192,4927,7265,4450,2777,1673,0.515505617978,0.459848757652,0.607890017932
2016-09-10,9048,4686,4362,4123,2669,1454,0.510065486296,0.449231922068,0.621733149931
2016-09-09,12267,5457,6810,4945,3128,1817,0.517087967644,0.467071611253,0.603192074849
2016-09-08,11614,5473,6141,4950,3138,1812,0.508888888889,0.455066921606,0.602097130243
2016-09-07,11602,5710,5892,4982,3264,1718,0.516860698515,0.473345588235,0.599534342258
2016-09-06,15670,5775,9895,5221,3358,1863,0.518291515035,0.473793924955,0.598497047772
2016-09-05,13345,5478,7867,4881,3207,1674,0.521409547224,0.476145930776,0.608124253286
2016-09-04,12417,4678,7739,3911,2619,1292,0.508309895167,0.463535700649,0.59907120743
2016-09-03,10598,4762,5836,4037,2720,1317,0.509289076047,0.469117647059,0.592255125285
2016-09-02,13159,5417,7742,4748,3093,1655,0.49452401011,0.452634982218,0.572809667674
2016-09-01,12312,5917,6395,5177,3346,1831,0.50975468418,0.466527196653,0.588749317313
2016-08-31,11398,5480,5918,4867,3178,1689,0.501746455722,0.461925739459,0.57667258733
2016-08-30,11906,5762,6144,5158,3318,1840,0.498449011245,0.448764315853,0.588043478261
2016-08-29,11754,5565,6189,5003,3303,1700,0.511493104138,0.458068422646,0.615294117647
2016-08-28,9539,4548,4991,4054,2555,1499,0.513566847558,0.466536203523,0.593729152769
2016-08-27,9809,4905,4904,4395,2785,1610,0.508759954494,0.462477558348,0.588819875776
2016-08-26,11882,5661,6221,5036,3244,1792,0.518467037331,0.471948212084,0.602678571429
2016-08-25,13219,5618,7601,5196,3238,1958,0.516551193226,0.458925262508,0.611848825332
2016-08-24,13642,5576,8066,5338,3258,2080,0.515174222555,0.465316144874,0.593269230769
2016-08-23,13320,5601,7719,5060,3183,1877,0.519169960474,0.457115928369,0.624400639318
2016-08-22,12907,5951,6956,5089,3327,1762,0.510512870898,0.457469191464,0.61066969353
2016-08-21,12600,5304,7296,4234,2818,1416,0.519839395371,0.477288857346,0.604519774011
2016-08-20,10465,5608,4857,4467,3107,1360,0.495186926349,0.452204699067,0.593382352941
2016-08-19,12295,5913,6382,4717,3298,1419,0.498198007208,0.455124317768,0.598308668076
2016-08-18,12740,5831,6909,4733,3236,1497,0.486583562223,0.438813349815,0.589846359385
